styrk08,platform,date_start,soc,task_name,pct,n_classified,directive_share,feedback_loop_share,task_iteration_share,validation_share,learning_share
1112,api,2026-02-05,11-1011,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.1385,1328.0,0.7252,0.0286,0.1867,0.0354,0.0241
1112,api,2026-02-05,11-1021,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.0361,306.0,0.8399,0.0,0.1601,0.0,0.0
1112,api,2026-02-05,11-1011,"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.0133,110.0,1.0,0.0,0.0,0.0,0.0
1112,api,2026-02-05,11-1011,"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.006,41.0,1.0,0.0,0.0,0.0,0.0
1112,api,2026-02-05,11-1021,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.0049,31.0,1.0,0.0,0.0,0.0,0.0
1112,api,2026-02-05,11-1011,direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.0041,31.0,1.0,0.0,0.0,0.0,0.0
1112,api,2026-02-05,11-1011,"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.0029,19.0,1.0,0.0,0.0,0.0,0.0
1112,api,2026-02-05,11-1021,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.002,19.0,1.0,0.0,0.0,0.0,0.0
1114,api,2026-02-05,11-9199,"identify, investigate, or resolve security breaches.",0.5372,4261.0,0.72,0.0444,0.0296,0.191,0.015
1114,api,2026-02-05,11-9199,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.182,1458.0,0.8025,0.0281,0.0295,0.1276,0.0123
1114,api,2026-02-05,11-9199,monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,0.0918,860.0,0.8512,0.0581,0.057,0.0337,0.0
1114,api,2026-02-05,11-9199,"present investment information, such as product risks, fees, or fund performance statistics.",0.0632,579.0,0.8653,0.0,0.0397,0.0,0.095
1114,api,2026-02-05,11-9199,select specific investments or investment mixes for purchase by an investment fund.,0.0414,383.0,0.9504,0.0496,0.0,0.0,0.0
1114,api,2026-02-05,11-1021,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.0361,306.0,0.8399,0.0,0.1601,0.0,0.0
1114,api,2026-02-05,11-9199,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",0.0335,224.0,0.933,0.0,0.0,0.067,0.0
1114,api,2026-02-05,11-9199,"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",0.0307,238.0,1.0,0.0,0.0,0.0,0.0
1114,api,2026-02-05,11-2031,"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",0.0306,281.0,0.8861,0.0,0.1139,0.0,0.0
1114,api,2026-02-05,11-9199,select or direct the execution of trades.,0.03,266.0,1.0,0.0,0.0,0.0,0.0
1114,api,2026-02-05,11-9199,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,0.0298,266.0,0.7218,0.0,0.0564,0.2218,0.0
1114,api,2026-02-05,11-9199,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",0.0284,259.0,0.8263,0.0,0.0734,0.1004,0.0
1114,api,2026-02-05,11-9199,"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",0.022,183.0,1.0,0.0,0.0,0.0,0.0
1114,api,2026-02-05,11-9199,verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.0197,152.0,0.8684,0.0,0.0,0.1316,0.0
1114,api,2026-02-05,11-9199,identify group or individual target investors for a specific fund.,0.0188,175.0,0.8857,0.0,0.1143,0.0,0.0
1120,api,2026-02-05,11-1011,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.1385,1328.0,0.7252,0.0286,0.1867,0.0354,0.0241
1120,api,2026-02-05,11-1021,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.0361,306.0,0.8399,0.0,0.1601,0.0,0.0
1120,api,2026-02-05,11-1011,"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.0133,110.0,1.0,0.0,0.0,0.0,0.0
