task_name,count,pct
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",24.0,0.0024000000000000002
act as advisers to student organizations.,98.0,0.0098
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,68.0,0.0068
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",74.0,0.0073999999999999995
act as liaisons between on-site managers or tenants and owners.,39.0,0.0039
adapt instructional content or delivery methods for different levels or types of learners.,351.0,0.0351
adapt software and accompanying technical documents to another language and culture.,21.0,0.0021
adapt teaching methods and instructional materials to meet students' varying needs and interests.,112.0,0.0112
adapt text to accommodate musical requirements of composers and singers.,186.0,0.0186
adapt the quantity of ingredients to match the amount of items to be baked.,86.0,0.0086
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",78.0,0.0078
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",39.0,0.0039
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",20.0,0.002
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",1039.0,0.10389999999999999
"adjust apertures, shutter speeds, and camera focus based on a combination of factors such as lighting, field depth, subject motion, film type, and film speed.",22.0,0.0022
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",31.0,0.0031000000000000003
adjust navigation according to weather conditions.,20.0,0.002
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",32.0,0.0031999999999999997
adjust sales scripts to better target the needs and interests of specific individuals.,141.0,0.014100000000000001
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",20.0,0.002
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",15.0,0.0015
administer construction contracts.,34.0,0.0034
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,88.0,0.0088
"administer highway planning, construction, or maintenance.",55.0,0.0055000000000000005
administer online purchasing systems.,220.0,0.022000000000000002
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,43.0,0.0043
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",107.0,0.0107
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",210.0,0.021
"administer, proctor, or score academic or diagnostic assessments.",242.0,0.0242
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,32.0,0.0031999999999999997
advise and teach students.,422.0,0.0422
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",390.0,0.039
advise athletes on the proper use of equipment.,25.0,0.0025
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",53.0,0.0053
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",268.0,0.0268
